Uuid,Status,Additional data,Characteristic,Path,K1 Messwert,K21000 Verdichtung Minimum,K21001 Verdichtung Maximum,K21002 Verdichtung Spannweite,K21003 Verdichtung Mittelwert,K21004 Verdichtung Sigma,K21005 Verdichtung Median,K21006 Verdichtung Unteres Quartil,K21007 Verdichtung Oberes Quartil,K21008 Verdichtung Cp,K21009 Verdichtung Cpk,K21010 Verdichtung Anzahl,K21011 Verdichtung Gelbbereich,K21012 Verdichtung Rotbereich,K4 Messdatum,K6 Identnummer,K8 Pr¸fer,K9 Text,K10 Maschine,K12 Pr¸fmittel,K53 Auftragsnummer,K96 Freigabestatus,K99 .Verdichtungsjob,K100 Verdichtungsintervall,K101 Verdichtung Anzahl der Ursprungsmessungen,K842 Bemusterungsteil,K843 Beh‰lternummer,K844 Sondermessung,K850 Schicht,K853 Datenstempel,K854 Untergruppe 1,K855 Untergruppe 2,K856 Untergruppe 3,K857 Untergruppe 4,K858 Linie,K860 Aufbauvariante,K861 Antriebsvariante,K862 Lenkungsvariante,K863 Fahrwerksvariante,K864 Fertigungsschrittvariante,K865 Getriebevariante,K866 Ausstattungsvariante,K867 Exterieurvariante,K868 Programmvariante,K870 Identnr. 2,K871 Linie 2,K872 Messort,K873 Farbcode,K874 Baustufe,K1004 Bauteilstand,K1042 CAD-Stand,K1232 Programmstand,K2001 Merkmalsnummer,K2006 Dokumentationspflicht,K2021 Berechnungsvorschrift,K2022 Anzahl Nachkommastellen,K2100 Sollwert,K2101 Nennmaﬂ,K2110 Unterer Toleranz,K2111 Oberer Toleranz,K2120 Art der Grenze unten,K2342 Messmodul,K2343 Messpunktrolle,K2540 X-Richtung,K2541 Y-Richtung,K2542 Z-Richtung,K2543 X-Position,K2544 Y-Position,K2545 Z-Position,K2570 Kategorie,K2571 Funktionsbereich,K2580 PBMS-Punkt,K2581 Inline-Punkt,K2582 Symmetrisch,K2583 Manuelle Toleranzeingabe,K12004 Merkmalsart,K12010 Merkmalstyp,K12360 Messpunktverkn¸pfung,K12361 Verkn¸pfungstyp,K13001 Text 1,K13002 Text 2,K13003 Text 3,K13010 Messprogramm,K13011 Schnittebene,K13012 FMK-Kennung,K13013 Toleranzkette,K13014 Messprinzip
"882ce3c4-275a-43f6-9631-d64bac1148b7|706c4aa6-98b3-46df-8108-993f7ffc20aa","3","False","NLLVO0003_O_CA.X","/AU583/Inline/SGR Aufbau 3/NLLVO0003_O_CA/NLLVO0003_O_CA.X","1.03",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-643.848","0","-1","1",,"NETZ_","n.def.","-0.1218693","0","0.9925461","-643.848","-649","412.766","Netzmaﬂ","n.def.","n.def.","n.def.","Ja","n.def.","variabel",,,"n.def.",,,"Bef. Frontend M6","LVO_A1_M623ZAU583 LVO_A3_M7110AU583 LVO_FI_M9330AU583 M1030AU583 M3435AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|7a5b31f7-de93-4134-b789-bbf9592f806a","1","False","NLLVO0003_O_CA.Y","/AU583/Inline/SGR Aufbau 3/NLLVO0003_O_CA/NLLVO0003_O_CA.Y","0.09",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-649","0","-1","1",,"NETZ_","n.def.","-0.1218693","0","0.9925461","-643.848","-649","412.766","Netzmaﬂ","n.def.","n.def.","n.def.","Ja","n.def.","variabel",,,"n.def.",,,"Bef. Frontend M6","LVO_A1_M623ZAU583 LVO_A3_M7110AU583 LVO_FI_M9330AU583 M1030AU583 M3435AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|5d7442d3-d34e-4008-80b7-a015f631bc65","1","False","NLLVO0003_O_CA.Z","/AU583/Inline/SGR Aufbau 3/NLLVO0003_O_CA/NLLVO0003_O_CA.Z","0.08",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"412.766","0","-1","1",,"NETZ_","n.def.","-0.1218693","0","0.9925461","-643.848","-649","412.766","Netzmaﬂ","n.def.","n.def.","n.def.","Ja","n.def.","variabel",,,"n.def.",,,"Bef. Frontend M6","LVO_A1_M623ZAU583 LVO_A3_M7110AU583 LVO_FI_M9330AU583 M1030AU583 M3435AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|cc45367a-cf9a-404d-9449-6f481f292050","1","False","NLLVP0001_V_EG.X","/AU583/Inline/SGR Aufbau 3/NLLVP0001_V_EG/NLLVP0001_V_EG.X","0.2",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-737","0","-1","1",,"LVP_ANB_FRONTEND","n.def.","-1","0","0","-737","-497","240","Netzmaﬂ","n.def.","n.def.","n.def.","n.def.","n.def.","variabel",,,"n.def.",,,"RPS_001_Hyz_RPS_003_Fx","LVP_A3_M7110AU583 LVP_FI_M9330AU583",,,,"EG - Rechteckloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|df3dc4e3-15dd-461e-9c81-a5922db8ea08","1","False","NLLVP0001_V_EG.Y","/AU583/Inline/SGR Aufbau 3/NLLVP0001_V_EG/NLLVP0001_V_EG.Y","-0.09",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-497","0","-1","1",,"LVP_ANB_FRONTEND","n.def.","-1","0","0","-737","-497","240","Netzmaﬂ","n.def.","n.def.","n.def.","n.def.","n.def.","variabel",,,"n.def.",,,"RPS_001_Hyz_RPS_003_Fx","LVP_A3_M7110AU583 LVP_FI_M9330AU583",,,,"EG - Rechteckloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|1f2ec2ee-8459-4e11-b493-db9c0ccd8ac0","1","False","NLLVP0001_V_EG.Z","/AU583/Inline/SGR Aufbau 3/NLLVP0001_V_EG/NLLVP0001_V_EG.Z","-0.34",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"240","0","-1","1",,"LVP_ANB_FRONTEND","n.def.","-1","0","0","-737","-497","240","Netzmaﬂ","n.def.","n.def.","n.def.","n.def.","n.def.","variabel",,,"n.def.",,,"RPS_001_Hyz_RPS_003_Fx","LVP_A3_M7110AU583 LVP_FI_M9330AU583",,,,"EG - Rechteckloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|cbbc99ef-6663-4452-8bb0-442af0174456","1","False","NLLVP0005_V_CA.X","/AU583/Inline/SGR Aufbau 3/NLLVP0005_V_CA/NLLVP0005_V_CA.X","0",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-737","0","-1","1",,"LVP_ANB_FRONTEND","n.def.","-1","0","0","-737","-507.5","52","Netzmaﬂ","n.def.","n.def.","n.def.","Ja","n.def.","variabel",,,"n.def.",,,,"LVP_A3_M7110AU583 LVP_FI_M9330AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|a0846689-a4cb-4515-a794-f3694023221b","1","False","NLLVP0005_V_CA.Y","/AU583/Inline/SGR Aufbau 3/NLLVP0005_V_CA/NLLVP0005_V_CA.Y","0.09",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-507.5","0","-1","1",,"LVP_ANB_FRONTEND","n.def.","-1","0","0","-737","-507.5","52","Netzmaﬂ","n.def.","n.def.","n.def.","Ja","n.def.","variabel",,,"n.def.",,,,"LVP_A3_M7110AU583 LVP_FI_M9330AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|3e4e5abb-8789-41c3-a57b-0a74a546d48e","1","False","NLLVP0005_V_CA.Z","/AU583/Inline/SGR Aufbau 3/NLLVP0005_V_CA/NLLVP0005_V_CA.Z","0.29",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"52","0","-1","1",,"LVP_ANB_FRONTEND","n.def.","-1","0","0","-737","-507.5","52","Netzmaﬂ","n.def.","n.def.","n.def.","Ja","n.def.","variabel",,,"n.def.",,,,"LVP_A3_M7110AU583 LVP_FI_M9330AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|d12b6cb2-b7e7-4fd9-a8b6-ec3a09bc25c1","1","False","NLSLA0001_H_GA.X","/AU583/Inline/SGR Aufbau 3/NLSLA0001_H_GA/NLSLA0001_H_GA.X","-0.29",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"3540","0","-1","1",,"SLA_ANB_LEUCHTE","n.def.","1","-2E-07","0","3540","-541","506","Netzmaﬂ","n.def.","n.def.","n.def.","Ja","n.def.","variabel",,,"n.def.",,,"RPS_003_Fx","SLA_A3_M8110AU583 SLA_FI_M9330AU583 SLA_SA_M5930AU583",,,,"GA - 6-Eck-Loch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|9eb30b5e-5888-4fc5-8cf2-4a4a41feeaad","1","False","NLSLA0001_H_GA.Y","/AU583/Inline/SGR Aufbau 3/NLSLA0001_H_GA/NLSLA0001_H_GA.Y","0.08",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-541","0","-1","1",,"SLA_ANB_LEUCHTE","n.def.","1","-2E-07","0","3540","-541","506","Netzmaﬂ","n.def.","n.def.","n.def.","Ja","n.def.","variabel",,,"n.def.",,,"RPS_003_Fx","SLA_A3_M8110AU583 SLA_FI_M9330AU583 SLA_SA_M5930AU583",,,,"GA - 6-Eck-Loch normal"
